stimulus,side,figure,cube,x,y,z
27,right,M9,7,99.709,26.497,103.722
27,right,M9,8,98.621,26.313,99.331
27,right,M9,9,96.087,22.695,100.11
27,right,M9,10,93.509,19.012,100.903
28,left,M10,6,100.338,-14.519,110.51
28,left,M10,2,92.19,-26.033,111.222
28,left,M10,3,92.022,-24.43,107.043
28,left,M10,4,94.769,-21.156,108.188
28,left,M10,5,97.566,-17.823,109.354
28,left,M10,1,92.363,-27.675,115.503
28,left,M10,7,100.169,-12.903,106.296
28,left,M10,8,99.999,-11.284,102.075
28,left,M10,9,96.513,-8.748,103.188
28,left,M10,10,93.029,-6.214,104.3
28,right,M10,6,96.55,20.004,110.51
28,right,M10,2,83.796,26.029,111.222
28,right,M10,3,85.345,26.473,107.043
28,right,M10,4,89.046,24.336,108.188
28,right,M10,5,92.815,22.16,109.354
28,right,M10,1,82.208,25.574,115.503
28,right,M10,7,98.112,20.452,106.296
28,right,M10,8,99.677,20.9,102.075
28,right,M10,9,101.569,24.773,103.188
28,right,M10,10,103.459,28.644,104.3
29,left,M9,6,87.508,-23.209,111.067
29,left,M9,2,101.175,-19.625,113.237
29,left,M9,3,100.364,-19.679,108.717
29,left,M9,4,96.08,-20.855,109.5
29,left,M9,5,91.791,-22.033,110.284
29,left,M9,1,101.972,-19.572,117.678
29,left,M9,7,86.715,-23.262,106.647
29,left,M9,8,85.915,-23.315,102.191
29,left,M9,9,84.755,-18.984,102.348
29,left,M9,10,83.574,-14.578,102.507
29,right,M5,5,97.472,25.395,110.589
29,right,M5,1,90.24,20.414,119.926
29,right,M5,2,90.692,19.738,115.402
29,right,M5,3,91.143,19.065,110.902
29,right,M5,4,94.265,22.188,110.747
29,right,M5,10,95.272,33.447,100.095
29,right,M5,6,100.653,28.576,110.432
29,right,M5,7,97.631,31.561,109.683
29,right,M5,8,94.393,34.76,108.881
29,right,M5,9,94.828,34.109,104.526
30,left,M9,6,92.736,-25.156,111.067
30,left,M9,2,100.903,-13.626,113.237
30,left,M9,3,100.316,-14.189,108.717
30,left,M9,4,97.79,-17.843,109.5
30,left,M9,5,95.262,-21.502,110.284
30,left,M9,1,101.479,-13.073,117.678
30,left,M9,7,92.163,-25.706,106.647
30,left,M9,8,91.584,-26.261,102.191
30,left,M9,9,87.912,-23.689,102.348
30,left,M9,10,84.175,-21.073,102.507
30,right,M9,6,87.508,20.791,111.067
30,right,M9,2,101.175,24.375,113.237
30,right,M9,3,100.364,24.321,108.717
30,right,M9,4,96.08,23.145,109.5
30,right,M9,5,91.791,21.967,110.284
30,right,M9,1,101.972,24.428,117.678
30,right,M9,7,86.715,20.738,106.647
30,right,M9,8,85.915,20.685,102.191
30,right,M9,9,84.755,25.016,102.348
30,right,M9,10,83.574,29.422,102.507
